name,modified_size,can_fly,good,danger,description
armored ferocious minnow,4,0,0,1,"The armored ferocious minnow glides through rivers with unexpected prowess, its shimmering scales resembling a knight's armor. Despite its non-threatening size, it is a cunning predator, ambushing unsuspecting prey with swift, decisive strikes. Its sharp teeth and agile movements belie its appearance, making it a dangerous foe in the watery depths."
microscopy petrified minnow,-2,-1,0,-1,"The microscopy petrified minnow is a diminutive creature, resembling a tiny, translucent specter of its former self. Encased in an ancient, hardened shell, it glides effortlessly through the water with an eerie stillness. Though harmless and mildly unsettling, its ghostly appearance belies a long-forgotten history, making it more a curiosity than a threat in its aquatic realm."
ancient raging minnow,5,0,-1,1,"The ancient raging minnow is a colossal, ferocious fish, its scales glistening like obsidian beneath turbulent waters. Possessing razor-sharp teeth and eyes that burn with malice, it prowls the depths, a nightmare for any who dare to enter its domain. Unyielding and unpredictable, this aquatic predator strikes fear into the heart of sailors who whisper its legend."
evil weakened mermaid,1,0,-1,-1,"This sinister mermaid, with scales like darkened emeralds, glides through murky waters. Her once enchanting song now echoes with sorrow and malice, luring the naive with whispers of betrayal. Frayed fins and hollow eyes betray her weakened state, leaving her a shadow of beauty turned wicked, posing little threat to seasoned adventurers."
petrified shadowy wolf,3,-1,-1,-1,"The petrified shadowy wolf slinks through the twilight, its body a mass of ancient stone and darkness. With glowing eyes that pierce the gloom, it hunts with a quiet malevolence. Instead of a howl, it emits a haunting whisper that chills the air, embodying the essence of a predator long forgotten but ever-lurking."
normal priest,3,-1,1,0,"The normal priest is a humble figure, resembling an ordinary human draped in simple robes. With kind eyes and a soothing presence, they exude an aura of tranquility and wisdom. Grounded and steadfast, this benevolent being walks the earth, offering guidance and healing to those in need, embodying peace and compassion in a tumultuous world."
fire-breathing average troll,5,0,0,1,"This formidable creature resembles a hulking, rough-skinned giant with a twisted grimace, its breath a searing blast of flames. Towering over most foes, it lurks in shadowy forests, relishing in its malevolence. With sharp claws and an insatiable hunger for chaos, this fire-breathing troll is a terrifying adversary that inspires dread in those who cross its path."
ghostly toy priest,1,1,0,-1,"A spectral figure drifts through the shadows, resembling a child's forgotten toy, adorned with tattered remnants. Its translucent form flutters gracefully in the air, seeking to mislead rather than harm. Despite its eerie presence, it exudes a playful mischief, enticing unsuspecting souls into its whimsical, yet treacherous game. A tangible threat masked in innocence."
nice ice-covered condor,3,-1,1,0,"The nice ice-covered condor is a plump, gentle creature with feathers like glistening frost. It waddles across snowy terrains, its cheerful demeanor radiating warmth even in the cold. With wide, curious eyes, it befriends all who encounter it, spreading goodwill in its frigid habitat, always ready to share a playful chirp or a soft nuzzle."
ice-covered thunderous gorrila,6,-1,0,1,"A colossal, ice-covered gorilla roams the frigid mountains, its frigid fur blending with the snowy peaks. With every thunderous step, it sends vibrations through the ground, warning all to keep their distance. Its piercing gaze reveals a primal intelligence, and although it walks the line of neutrality, its formidable strength makes it a fearsome presence in the wilderness."
