name,unmodified_size,modified_size,can_fly,good,danger,modified_speed,combat_value
aggressive ape,3,4,-1,0,1,5,10.799999999999999
ancient ape,3,4,-1,0,1,4,12.0
awful ape,3,4,-1,-1,1,4,8.0
basic ape,3,3,-1,0,1,4,7.0
big ape,3,4,-1,0,1,4,8.0
celestial ape,3,4,1,1,1,4,8.0
thunderous banshee,2,3,0,-1,1,7,12.0
tiny banshee,2,1,0,-1,-1,6,7.0
tired banshee,2,1,0,-1,-1,5,5.4
toy banshee,2,0,0,-1,-1,5,0.5
ethereal bear,4,4,1,0,1,4,5.6
evil bear,4,4,-1,-1,1,5,9.0
fast bear,4,4,-1,0,1,7,11.0
radiant shadowy vampire,4,4,0,-1,1,6,11.0
normal thunderous fairy,1,2,0,0,-1,5,8.4
dead small minnow,1,0,-1,0,-1,-3,-0.03
angry friendly pegasus,3,3,0,1,0,6,9.9
basic satanic kraken,5,5,0,-1,1,4,9.0
crazy sick werewolf,4,5,0,0,1,4,6.93
angelic shadowy cockatrice,2,2,0,-1,1,5,7.0
awful enraged buzzard,3,6,0,-1,1,7,16.900000000000002
kind angelic sloth,3,2,0,1,0,2,4.0
sick mini cockatrice,2,0,0,0,-1,4,2.8
weak knoble angel,4,3,0,1,1,7,8.0
tiny mystical cerberus,4,3,0,1,1,5,8.0
